Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Michigan(2)",26000,16.9 ,15.9, 18,34 , 22 , 43,1078,stable,-2.2 ,-4.2, 0.2
"New Jersey(7)",34000,16.8 ,15.7, 18,35 , 23 , 44,953,rising,0.8 ,0.5, 1.2
"Idaho(7)",16000,16.8 ,14.4, 19.4,36 , 10 , 49,195,stable,0.3 ,-0.6, 1.4
"Rhode Island(2)",44000,16.5 ,13.5, 20,37 , 6 , 50,114,stable,0.2 ,-0.7, 1.1
"New York(7)",36000,16.3 ,15.5, 17,38 , 31 , 44,1964,rising,0.7 ,0.5, 1.0
"Oregon(2)",41000,16.2 ,14.7, 17.8,39 , 22 , 48,441,rising,1.1 ,0.2, 2.2
"Connecticut(7)",09000,16.1 ,14.4, 17.8,40 , 23 , 48,380,stable,-3.4 ,-5.8, 0.4
"Montana(2)",30000,15.7 ,12.9, 19,41 , 10 , 50,116,stable,0.1 ,-0.8, 1.2
"New Mexico(7)",35000,15.6 ,13.5, 18,42 , 18 , 50,203,stable,0.1 ,-0.5, 2.5
"Massachusetts(7)",25000,15.5 ,14.3, 16.8,43 , 32 , 48,668,falling,-3.6 ,-5.6, -1.2
"Utah(7)",49000,15 ,13.1, 17.2,44 , 25 , 50,226,rising,2.4 ,1.1, 5.4
"California(7)",06000,14.6 ,14.1, 15.1,45 , 40 , 49,3229,falling,-1.2 ,-3.7, -0.2
"Colorado(2)",08000,14.5 ,13.2, 15.9,46 , 36 , 50,486,stable,-3.0 ,-8.8, 2.1
"Arizona(2)",04000,13.9 ,12.8, 15,47 , 40 , 50,637,stable,0.6 ,0.0, 1.2
"Nevada(2)",32000,13.7 ,12.1, 15.6,48 , 37 , 50,262,falling,-4.0 ,-7.9, -0.3
"District of Columbia(2)",11001,13.4 ,9.5, 18.3,49 , 12 , 50,41,falling,-2.6 ,-4.1, -1.2
"Puerto Rico(2)",72001,13.3 ,11.8, 15,N/A , N/A , N/A,302,falling,-3.5 ,-8.7, -1.5
"Wyoming(2)",56000,11.3 ,8.1, 15.4,50 , 35 , 50,44,stable,-0.6 ,-2.2, 1.1
"Indiana(2)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 03/30/2025 6:19 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected counties."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"2 Source: National Program of Cancer Registries SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2023 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
"4 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
7 Source: SEER November 2023 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2023 data."

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
