Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"North Carolina(6)",37000,7 ,6.7, 7.3,14 , 7 , 30,478,rising,0.7 ,0.3, 1.2
"Georgia(7)",13000,7 ,6.7, 7.3,15 , 7 , 33,448,stable,1.1 ,-0.3, 4.1
"Oklahoma(6)",40000,6.9 ,6.5, 7.4,16 , 5 , 40,172,stable,0.4 ,-0.9, 1.7
"Montana(6)",30000,6.9 ,6.1, 7.9,17 , 1 , 47,50,stable,0.6 ,-1.1, 2.4
"Arkansas(6)",05000,6.9 ,6.4, 7.5,18 , 3 , 41,136,rising,1.0 ,0.3, 1.9
"Oregon(6)",41000,6.9 ,6.5, 7.4,19 , 6 , 39,192,stable,0.7 ,0.0, 1.4
"Pennsylvania(6)",42000,6.8 ,6.6, 7.1,20 , 10 , 35,623,falling,-3.4 ,-5.9, -1.0
"Mississippi(6)",28000,6.8 ,6.3, 7.4,21 , 5 , 43,131,stable,0.5 ,-0.5, 1.6
"Idaho(7)",16000,6.8 ,6.1, 7.5,22 , 3 , 46,75,falling,-1.6 ,-4.1, -0.2
"New Hampshire(6)",33000,6.8 ,6, 7.6,23 , 2 , 47,66,stable,0.3 ,-0.7, 1.5
"South Dakota(6)",46000,6.8 ,5.8, 7.9,24 , 1 , 49,37,stable,0.4 ,-1.5, 2.4
"Louisiana(7)",22000,6.7 ,6.3, 7.2,25 , 8 , 42,197,rising,0.8 ,0.1, 1.6
"Illinois(7)",17000,6.7 ,6.4, 6.9,26 , 14 , 39,556,falling,-2.8 ,-4.8, -0.2
"Hawaii(7)",15000,6.7 ,5.9, 7.5,27 , 3 , 47,64,stable,0.6 ,-0.1, 1.4
"Tennessee(6)",47000,6.7 ,6.3, 7,28 , 12 , 41,300,rising,0.9 ,0.3, 1.5
"Rhode Island(6)",44000,6.6 ,5.8, 7.5,29 , 2 , 48,51,stable,1.7 ,-0.2, 3.7
"Alabama(6)",01000,6.6 ,6.2, 7,30 , 9 , 43,223,stable,0.1 ,-0.9, 1.1
"Michigan(6)",26000,6.6 ,6.3, 6.9,31 , 14 , 41,452,stable,0.0 ,-0.7, 0.8
"New York(7)",36000,6.6 ,6.4, 6.8,32 , 18 , 40,888,rising,0.7 ,0.4, 1.0
"South Carolina(6)",45000,6.5 ,6.1, 6.9,33 , 12 , 44,229,stable,0.2 ,-0.4, 0.9
"Vermont(6)",50000,6.5 ,5.4, 7.7,34 , 1 , 50,29,stable,0.6 ,-1.2, 2.4
"Missouri(6)",29000,6.5 ,6.1, 6.9,35 , 14 , 44,268,stable,-0.4 ,-2.4, 0.3
"New Jersey(7)",34000,6.5 ,6.2, 6.8,36 , 18 , 43,401,stable,0.3 ,-0.4, 1.0
"Kansas(6)",20000,6.4 ,5.9, 7,37 , 10 , 47,116,stable,0.6 ,-1.0, 2.2
"Virginia(6)",51000,6.4 ,6.1, 6.7,38 , 19 , 44,347,rising,1.0 ,0.1, 1.9
"Massachusetts(7)",25000,6.2 ,5.9, 6.6,39 , 23 , 46,295,falling,-4.1 ,-11.1, -0.9
"Maryland(6)",24000,6.2 ,5.8, 6.5,40 , 24 , 47,249,stable,0.5 ,-0.4, 1.4
"District of Columbia(6)",11001,6.1 ,5, 7.4,41 , 2 , 50,23,stable,-0.7 ,-2.5, 1.2
"Texas(7)",48000,6 ,5.9, 6.2,42 , 36 , 46,949,stable,0.6 ,-2.4, 2.5
"Colorado(6)",08000,6 ,5.6, 6.4,43 , 29 , 48,201,stable,0.1 ,-0.5, 0.7
"Wyoming(6)",56000,5.9 ,4.8, 7.3,44 , 3 , 50,20,stable,-0.4 ,-4.1, 3.5
"California(7)",06000,5.8 ,5.7, 6,45 , 40 , 48,1371,stable,1.9 ,-0.4, 3.4
"Delaware(6)",10000,5.8 ,5, 6.7,46 , 12 , 50,40,stable,0.4 ,-0.9, 1.9
"Utah(7)",49000,5.6 ,5, 6.1,47 , 35 , 50,84,stable,0.4 ,-0.2, 1.1
"Nevada(6)",32000,5.5 ,5.1, 6.1,48 , 36 , 50,103,stable,-0.5 ,-1.9, 1.0
"Arizona(6)",04000,5.2 ,4.9, 5.5,49 , 45 , 50,238,stable,-0.3 ,-1.4, 0.8
"New Mexico(7)",35000,4.9 ,4.3, 5.5,50 , 45 , 50,67,falling,-0.8 ,-1.4, -0.1
"Puerto Rico(6)",72001,4.7 ,4.2, 5.1,N/A , N/A , N/A,107,stable,-0.2 ,-15.6, 5.3
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 03/30/2025 6:18 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected counties."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"5 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"6 Source: National Program of Cancer Registries SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2023 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
7 Source: SEER November 2023 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2023 data."

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
