Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"North Carolina(6)",37000,19.5 ,19, 20,14 , 8 , 22,1183,rising,0.8 ,0.4, 1.2
"Georgia(7)",13000,19.4 ,18.9, 20,15 , 9 , 23,1106,rising,0.6 ,0.3, 1.1
"Hawaii(7)",15000,19.3 ,18, 20.7,16 , 3 , 35,173,stable,0.6 ,0.0, 1.2
"Delaware(6)",10000,19.1 ,17.5, 20.8,17 , 3 , 39,121,stable,0.8 ,-0.3, 2.0
"Nebraska(6)",31000,19.1 ,17.9, 20.3,18 , 6 , 35,216,rising,1.4 ,0.7, 2.2
"Ohio(6)",39000,19.1 ,18.6, 19.5,19 , 11 , 26,1383,rising,1.8 ,1.5, 2.1
"New Hampshire(6)",33000,18.9 ,17.6, 20.3,20 , 5 , 38,179,rising,1.1 ,0.4, 1.9
"Wisconsin(6)",55000,18.7 ,18.1, 19.4,21 , 12 , 32,697,rising,1.3 ,0.6, 2.0
"Alaska(6)",02900,18.7 ,16.7, 20.8,22 , 2 , 44,76,rising,7.2 ,0.8, 11.8
"Pennsylvania(6)",42000,18.5 ,18, 18.9,23 , 16 , 32,1527,stable,-0.6 ,-2.0, 1.1
"Minnesota(6)",27000,18.4 ,17.8, 19.1,24 , 15 , 35,623,rising,1.3 ,0.9, 1.7
"Washington(5)",53000,18.4 ,17.8, 19,25 , 16 , 35,807,rising,1.1 ,0.7, 1.5
"Illinois(7)",17000,18.3 ,17.8, 18.7,26 , 18 , 33,1363,rising,0.8 ,0.5, 1.0
"Alabama(6)",01000,18.3 ,17.6, 19,27 , 15 , 37,546,falling,-0.8 ,-3.8, -0.2
"Texas(7)",48000,17.8 ,17.5, 18.1,28 , 24 , 37,2570,rising,1.0 ,0.7, 1.9
"South Dakota(6)",46000,17.8 ,16.2, 19.6,29 , 8 , 46,94,stable,1.1 ,-0.5, 2.7
"Kansas(6)",20000,17.8 ,16.8, 18.7,30 , 17 , 41,301,stable,-0.8 ,-5.6, 0.8
"Virginia(6)",51000,17.7 ,17.2, 18.3,31 , 22 , 39,878,rising,1.0 ,0.5, 1.5
"Oregon(6)",41000,17.7 ,17, 18.5,32 , 19 , 40,468,rising,1.1 ,0.2, 2.2
"North Dakota(6)",38000,17.7 ,15.9, 19.6,33 , 7 , 46,78,stable,0.4 ,-1.0, 2.0
"Michigan(6)",26000,17.6 ,17.1, 18.1,34 , 24 , 39,1103,stable,-2.2 ,-4.2, 0.2
"Idaho(7)",16000,17.4 ,16.3, 18.6,35 , 17 , 44,188,stable,0.3 ,-0.6, 1.4
"Montana(6)",30000,17.3 ,15.9, 18.9,36 , 13 , 45,123,stable,0.1 ,-0.8, 1.2
"Massachusetts(7)",25000,17.2 ,16.6, 17.8,37 , 27 , 42,730,falling,-3.6 ,-5.6, -1.2
"Connecticut(7)",09000,17 ,16.2, 17.8,38 , 25 , 44,386,stable,-3.4 ,-5.8, 0.4
"Maryland(6)",24000,16.9 ,16.3, 17.5,39 , 29 , 43,603,rising,0.9 ,0.3, 1.5
"New Jersey(7)",34000,16.8 ,16.3, 17.3,40 , 32 , 44,925,rising,0.8 ,0.5, 1.2
"New York(7)",36000,16.1 ,15.8, 16.4,41 , 38 , 46,1902,rising,0.7 ,0.5, 1.0
"Rhode Island(6)",44000,16 ,14.7, 17.5,42 , 25 , 49,109,stable,0.2 ,-0.7, 1.1
"Colorado(6)",08000,16 ,15.3, 16.6,43 , 37 , 46,513,stable,-3.0 ,-8.8, 2.1
"District of Columbia(6)",11001,15.8 ,13.8, 18,44 , 16 , 50,47,falling,-2.6 ,-4.1, -1.2
"Nevada(6)",32000,15.6 ,14.8, 16.4,45 , 37 , 49,287,falling,-4.0 ,-7.9, -0.3
"California(7)",06000,15 ,14.7, 15.2,46 , 44 , 49,3224,falling,-1.2 ,-3.7, -0.2
"New Mexico(7)",35000,14.6 ,13.6, 15.6,47 , 42 , 50,186,stable,0.1 ,-0.5, 2.5
"Wyoming(6)",56000,14.6 ,12.8, 16.5,48 , 34 , 50,53,stable,-0.6 ,-2.2, 1.1
"Arizona(6)",04000,14.5 ,14, 15.1,49 , 44 , 50,630,stable,0.6 ,0.0, 1.2
"Utah(7)",49000,13.5 ,12.6, 14.4,50 , 46 , 50,192,rising,2.4 ,1.1, 5.4
"Puerto Rico(6)",72001,13.5 ,12.7, 14.2,N/A , N/A , N/A,261,falling,-3.5 ,-8.7, -1.5
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 03/30/2025 6:18 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected counties."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"5 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2023 submission."
"6 Source: National Program of Cancer Registries SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2023 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
7 Source: SEER November 2023 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2023 data."

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
